"id","logs","avg_steps","avg_total_distance","avg_fair_min","avg_light_min","avg_sedentary_min","avg_calories_burned","total_logs","total_min_asleep","avg_min_asleep","avg_hour_asleep"
1503960366,31,12116.741935483871,7.8096773855147825,0.7941935403693107,4.152903241495932,848.1612903225806,1816.4193548387098,25,9007,360.28,6.004666666666667
1644430081,30,7282.966666666666,5.2953333536783855,0.9510000019023815,3.6090000212192535,1161.8666666666666,2811.3,4,1176,294.0,4.9
1844505072,31,2580.064516129032,1.7061290368437767,0.04903225648787714,1.6474193385051144,1206.6129032258063,1573.483870967742,3,1956,652.0,10.866666666666667
1927972279,31,916.1290322580645,0.6345161230814073,0.031290322962787845,0.5070967686272436,1317.4193548387098,2172.8064516129034,5,2085,417.0,6.95
2026352035,31,5566.870967741936,3.4548387152533375,0.011290322388372114,3.4361290402950777,689.4193548387096,1540.6451612903227,28,14173,506.17857142857144,8.436309523809523
2320127002,31,4716.870967741936,3.1877419044894557,0.09774193456096034,2.9803225667245927,1220.0967741935483,1724.1612903225807,1,61,61.0,1.0166666666666666
2347167796,18,9519.666666666666,6.3555555359149976,1.0749999913904402,4.22166670848512,687.1666666666666,2043.4444444444443,15,6702,446.8,7.446666666666666
3977333714,30,10984.566666666668,7.516999944051107,2.750999979178111,3.134333344300588,707.5333333333333,1513.6666666666667,28,8222,293.64285714285717,4.894047619047619
4020332650,31,2267.2258064516127,1.6261290389323426,0.12967741681683448,1.3083870819499415,1237.258064516129,2385.8064516129034,8,2795,349.375,5.822916666666667
4319703577,31,7268.8387096774195,4.892258047036106,0.502258064766084,3.7687096383662952,735.8064516129032,2037.6774193548388,26,12393,476.65384615384613,7.944230769230769
4388161847,31,10813.935483870968,8.393225892897576,0.9019354778912759,5.396129046716998,836.6774193548387,3093.8709677419356,24,9675,403.125,6.71875
4445114986,31,4796.548387096775,3.245806440230339,0.0754838703019965,2.644838709985056,829.9032258064516,2186.1935483870966,28,10785,385.17857142857144,6.419642857142857
4558609924,31,7685.129032258064,5.080645176672166,0.6822580661504499,3.847741946097343,1093.6129032258063,2033.258064516129,5,638,127.6,2.1266666666666665
4702921684,31,8572.064516129032,6.955161283093114,1.3048387092928733,5.225483921266371,766.4193548387096,2965.548387096774,28,11792,421.14285714285717,7.019047619047619
5553957443,31,8612.58064516129,5.639677449580161,0.6690322631789792,3.5045160958843846,668.3548387096774,1875.6774193548388,31,14368,463.48387096774195,7.724731182795699
5577150313,30,8304.433333333332,6.213333304723104,0.6580000047882398,2.427999989191691,754.4333333333333,3359.633333333333,26,11232,432.0,7.2
6117666160,28,7046.714285714285,5.342142914022718,0.08392857228006635,4.843214298997607,796.2857142857143,2261.1428571428573,18,8618,478.77777777777777,7.979629629629629
6775888955,26,2519.6923076923076,1.8134615161241248,0.384230769597567,0.7115384657652333,1299.423076923077,2131.769230769231,3,1049,349.6666666666667,5.8277777777777775
6962181067,31,9794.806451612903,6.585806477454401,0.9599999934434891,4.001612924760388,662.3225806451613,1982.032258064516,31,13888,448.0,7.466666666666667
7007744171,26,11323.423076923076,8.015384591542757,0.738461529979339,4.861538446866549,1055.3461538461538,2544.0,2,137,68.5,1.1416666666666666
7086361926,31,9371.774193548386,6.388064507815626,0.7732258047307691,2.8187096621841192,850.4516129032259,2566.3548387096776,24,10875,453.125,7.552083333333333
8053475328,31,14763.290322580646,11.475161198646791,0.4238709647568964,2.533870954667368,1148.0,2945.8064516129034,3,891,297.0,4.95
8378563200,31,8717.709677419354,6.913548461852535,0.5190322548151016,3.8893548211743756,716.1290322580645,3436.5806451612902,32,14187,443.34375,7.3890625
8792009665,29,1853.7241379310344,1.186551716820947,0.05827586262904365,1.1034482707237374,1060.4827586206898,1962.3103448275863,15,6535,435.6666666666667,7.261111111111111
