"sleepday","logs","total_min_asleep","avg_min_asleep","avg_hour_asleep"
"2016-04-12 00:00:00",13,5745,441.9230769230769,7.365384615384615
"2016-04-13 00:00:00",14,6026,430.42857142857144,7.173809523809524
"2016-04-14 00:00:00",13,5788,445.2307692307692,7.420512820512821
"2016-04-15 00:00:00",17,7267,427.47058823529414,7.124509803921568
"2016-04-16 00:00:00",14,5484,391.7142857142857,6.5285714285714285
"2016-04-17 00:00:00",12,5569,464.0833333333333,7.7347222222222225
"2016-04-18 00:00:00",10,4199,419.9,6.998333333333333
"2016-04-19 00:00:00",14,5727,409.07142857142856,6.817857142857143
"2016-04-20 00:00:00",15,6694,446.26666666666665,7.437777777777778
"2016-04-21 00:00:00",15,5640,376.0,6.266666666666667
"2016-04-22 00:00:00",13,5108,392.9230769230769,6.5487179487179485
"2016-04-23 00:00:00",15,6458,430.53333333333336,7.1755555555555555
"2016-04-24 00:00:00",13,6335,487.3076923076923,8.121794871794872
"2016-04-25 00:00:00",13,5140,395.38461538461536,6.589743589743589
"2016-04-26 00:00:00",14,5170,369.2857142857143,6.154761904761905
"2016-04-27 00:00:00",14,5985,427.5,7.125
"2016-04-28 00:00:00",16,6377,398.5625,6.642708333333333
"2016-04-29 00:00:00",15,5794,386.26666666666665,6.437777777777778
"2016-04-30 00:00:00",15,6665,444.3333333333333,7.405555555555556
"2016-05-01 00:00:00",16,6797,424.8125,7.080208333333333
"2016-05-02 00:00:00",13,5768,443.6923076923077,7.394871794871795
"2016-05-03 00:00:00",12,4764,397.0,6.616666666666667
"2016-05-04 00:00:00",12,5160,430.0,7.166666666666667
"2016-05-05 00:00:00",13,4810,370.0,6.166666666666667
"2016-05-06 00:00:00",12,4940,411.6666666666667,6.861111111111111
"2016-05-07 00:00:00",14,5800,414.2857142857143,6.904761904761905
"2016-05-08 00:00:00",14,6200,442.85714285714283,7.380952380952381
"2016-05-09 00:00:00",11,4578,416.1818181818182,6.9363636363636365
"2016-05-10 00:00:00",12,4889,407.4166666666667,6.790277777777778
"2016-05-11 00:00:00",11,4824,438.54545454545456,7.3090909090909095
"2016-05-12 00:00:00",8,3539,442.375,7.372916666666667
