"id","total_logs","total_min_asleep","avg_min_asleep","avg_hour_asleep"
1503960366,25,9007,360.28,6.004666666666667
1644430081,4,1176,294.0,4.9
1844505072,3,1956,652.0,10.866666666666667
1927972279,5,2085,417.0,6.95
2026352035,28,14173,506.17857142857144,8.436309523809523
2320127002,1,61,61.0,1.0166666666666666
2347167796,15,6702,446.8,7.446666666666666
3977333714,28,8222,293.64285714285717,4.894047619047619
4020332650,8,2795,349.375,5.822916666666667
4319703577,26,12393,476.65384615384613,7.944230769230769
4388161847,24,9675,403.125,6.71875
4445114986,28,10785,385.17857142857144,6.419642857142857
4558609924,5,638,127.6,2.1266666666666665
4702921684,28,11792,421.14285714285717,7.019047619047619
5553957443,31,14368,463.48387096774195,7.724731182795699
5577150313,26,11232,432.0,7.2
6117666160,18,8618,478.77777777777777,7.979629629629629
6775888955,3,1049,349.6666666666667,5.8277777777777775
6962181067,31,13888,448.0,7.466666666666667
7007744171,2,137,68.5,1.1416666666666666
7086361926,24,10875,453.125,7.552083333333333
8053475328,3,891,297.0,4.95
8378563200,32,14187,443.34375,7.3890625
8792009665,15,6535,435.6666666666667,7.261111111111111
